date,open,high,low,close,volume,tic,day
2017-01-03,28.950000762939453,29.082500457763672,28.690000534057617,27.09585189819336,115127600,AAPL,1
2017-01-03,37.895999908447266,37.9379997253418,37.3849983215332,37.68349838256836,70422000,AMZN,1
2017-01-03,38.94049835205078,39.48149871826172,38.790000915527344,39.30699920654297,33146000,GOOG,1
2017-01-03,62.790000915527344,62.84000015258789,62.130001068115234,57.37592315673828,20694100,MSFT,1
2017-01-03,26.100000381469727,26.592500686645508,24.844999313354492,25.14034652709961,150199600,NVDA,1
2017-01-03,14.324000358581543,14.688667297363281,14.064000129699707,14.465999603271484,88849500,TSLA,1
2017-01-04,28.962499618530273,29.127500534057617,28.9375,27.065521240234375,84472400,AAPL,2
2017-01-04,37.919498443603516,37.98400115966797,37.709999084472656,37.85900115966797,50210000,AMZN,2
2017-01-04,39.417999267578125,39.56700134277344,39.15800094604492,39.345001220703125,21460000,GOOG,2
2017-01-04,62.47999954223633,62.75,62.119998931884766,57.11920928955078,21340000,MSFT,2
2017-01-04,25.850000381469727,26.375,25.38249969482422,25.72690200805664,119922000,NVDA,2
2017-01-04,14.316666603088379,15.199999809265137,14.287332534790039,15.13266658782959,168202500,TSLA,2
2017-01-05,28.979999542236328,29.21500015258789,28.952499389648438,27.203157424926758,88774400,AAPL,3
2017-01-05,38.07749938964844,39.119998931884766,38.01300048828125,39.022499084472656,116602000,AMZN,3
2017-01-05,39.30400085449219,39.7239990234375,39.250999450683594,39.70100021362305,26704000,GOOG,3
2017-01-05,62.189998626708984,62.65999984741211,62.029998779296875,57.11920928955078,24876000,MSFT,3
2017-01-05,26.13249969482422,26.454999923706055,25.262500762939453,25.073806762695312,98429600,NVDA,3
2017-01-05,15.094667434692383,15.165332794189453,14.796667098999023,15.116666793823242,88675500,TSLA,3
2017-01-06,29.19499969482422,29.540000915527344,29.11750030517578,27.506423950195312,127007600,AAPL,4
2017-01-06,39.11800003051758,39.97200012207031,38.92399978637695,39.79949951171875,119724000,AMZN,4
2017-01-06,39.76300048828125,40.39500045776367,39.610198974609375,40.307498931884766,32804000,GOOG,4
2017-01-06,62.29999923706055,63.150001525878906,62.040000915527344,57.61431121826172,19922900,MSFT,4
2017-01-06,25.712499618530273,26.0625,25.299999237060547,25.408979415893555,82285600,NVDA,4
2017-01-06,15.128666877746582,15.354000091552734,15.029999732971191,15.267333030700684,82918500,TSLA,4
2017-01-09,29.487499237060547,29.857500076293945,29.485000610351562,27.75836944580078,134247600,AAPL,0
2017-01-09,39.900001525878906,40.0885009765625,39.5885009765625,39.84600067138672,68922000,AMZN,0
2017-01-09,40.31999969482422,40.49829864501953,40.14149856567383,40.33250045776367,25492000,GOOG,0
2017-01-09,62.7599983215332,63.08000183105469,62.540000915527344,57.430938720703125,20382700,MSFT,0
2017-01-09,25.875,27.0,25.875,26.43914222717285,91624800,NVDA,0
2017-01-09,15.264666557312012,15.461333274841309,15.199999809265137,15.41866683959961,59692500,TSLA,0
2017-01-10,29.6924991607666,29.844999313354492,29.575000762939453,27.786365509033203,97848400,AAPL,1
2017-01-10,39.83000183105469,39.900001525878906,39.47700119018555,39.79499816894531,51168000,AMZN,1
2017-01-10,40.393001556396484,40.45650100708008,40.175498962402344,40.239498138427734,23536000,GOOG,1
2017-01-10,62.72999954223633,63.06999969482422,62.279998779296875,57.4125862121582,18593000,MSFT,1
2017-01-10,26.952499389648438,27.297500610351562,26.407499313354492,26.239513397216797,88092000,NVDA,1
2017-01-10,15.466667175292969,15.466667175292969,15.12600040435791,15.324666976928711,54900000,TSLA,1
2017-01-11,29.684999465942383,29.982500076293945,29.649999618530273,27.9356689453125,110354400,AAPL,2
2017-01-11,39.68299865722656,39.974998474121094,39.47549819946289,39.95100021362305,59856000,AMZN,2
2017-01-11,40.25,40.407501220703125,40.06850051879883,40.39550018310547,21318000,GOOG,2
2017-01-11,62.61000061035156,63.22999954223633,62.43000030517578,57.935203552246094,21517300,MSFT,2
2017-01-11,26.5,26.549999237060547,26.037500381469727,25.916669845581055,52566400,NVDA,2
2017-01-11,15.271332740783691,15.331999778747559,15.112000465393066,15.315333366394043,54762000,TSLA,2
2017-01-12,29.725000381469727,29.825000762939453,29.552499771118164,27.81902503967285,108344800,AAPL,3
2017-01-12,40.015499114990234,40.70650100708008,39.974998474121094,40.68199920654297,97478000,AMZN,3
2017-01-12,40.356998443603516,40.36949920654297,39.958499908447266,40.31800079345703,27062000,GOOG,3
2017-01-12,63.060001373291016,63.400001525878906,61.95000076293945,57.40342712402344,20968200,MSFT,3
2017-01-12,26.0575008392334,26.174999237060547,25.405000686645508,25.492774963378906,62561600,NVDA,3
2017-01-12,15.27066707611084,15.380000114440918,15.038666725158691,15.305999755859375,56853000,TSLA,3
2017-01-13,29.77750015258789,29.905000686645508,29.702499389648438,27.770038604736328,104447600,AAPL,4
2017-01-13,40.715999603271484,41.08250045776367,40.56999969482422,40.856998443603516,75838000,AMZN,4
2017-01-13,40.374000549316406,40.56119918823242,40.33449935913086,40.39400100708008,21984000,GOOG,4
2017-01-13,62.619998931884766,62.869998931884766,62.349998474121094,57.48594665527344,19422300,MSFT,4
2017-01-13,25.899999618530273,26.25,25.764999389648438,25.49030876159668,45782000,NVDA,4
2017-01-13,15.333333015441895,15.856666564941406,15.305999755859375,15.850000381469727,91395000,TSLA,4
2017-01-17,29.584999084472656,30.059999465942383,29.55500030517578,27.99399185180664,137759200,AAPL,1
2017-01-17,40.78499984741211,40.79999923706055,40.172000885009766,40.486000061035156,73410000,AMZN,1
2017-01-17,40.354000091552734,40.356998443603516,40.01850128173828,40.230499267578125,27242000,GOOG,1
2017-01-17,62.68000030517578,62.70000076293945,62.029998779296875,57.330074310302734,20664000,MSFT,1
2017-01-17,25.75,25.799999237060547,25.142499923706055,24.918542861938477,58061200,NVDA,1
2017-01-17,15.779999732971191,15.997332572937012,15.624667167663574,15.70533275604248,69262500,TSLA,1
2017-01-18,30.0,30.125,29.927499771118164,27.991655349731445,94852000,AAPL,2
2017-01-18,40.474998474121094,40.58649826049805,40.2135009765625,40.374000549316406,47084000,AMZN,2
2017-01-18,40.29050064086914,40.31024932861328,40.04949951171875,40.30350112915039,25888000,GOOG,2
2017-01-18,62.66999816894531,62.70000076293945,62.119998931884766,57.302574157714844,19670100,MSFT,2
2017-01-18,25.059999465942383,25.8075008392334,24.77750015258789,25.372011184692383,65442400,NVDA,2
2017-01-18,15.776666641235352,15.980667114257812,15.70533275604248,15.890666961669922,56535000,TSLA,2
2017-01-19,29.850000381469727,30.022499084472656,29.842500686645508,27.942668914794922,102389200,AAPL,3
2017-01-19,40.5,40.675498962402344,40.36600112915039,40.45199966430664,50816000,AMZN,3
2017-01-19,40.25600051879883,40.4739990234375,40.09000015258789,40.10874938964844,18386000,GOOG,3
2017-01-19,62.2400016784668,62.97999954223633,62.20000076293945,57.11920928955078,18451700,MSFT,3
2017-01-19,25.767499923706055,26.614999771118164,25.7450008392334,25.916669845581055,64487200,NVDA,3
2017-01-19,16.483333587646484,16.57866668701172,16.049999237060547,16.250667572021484,115984500,TSLA,3
2017-01-20,30.112499237060547,30.112499237060547,29.9325008392334,27.99399185180664,130391600,AAPL,4
2017-01-20,40.763999938964844,40.80099868774414,40.3129997253418,40.416500091552734,67524000,AMZN,4
2017-01-20,40.34550094604492,40.34550094604492,40.08449935913086,40.250999450683594,33400000,GOOG,4
2017-01-20,62.66999816894531,62.81999969482422,62.369998931884766,57.52261734008789,30213500,MSFT,4
2017-01-20,26.520000457763672,26.700000762939453,25.780000686645508,25.63324737548828,49202400,NVDA,4
2017-01-20,16.36400032043457,16.399999618530273,16.200666427612305,16.315332412719727,63064500,TSLA,4
2017-01-23,30.0,30.202499389648438,29.9424991607666,28.012653350830078,88200800,AAPL,0
2017-01-23,40.34000015258789,40.92499923706055,40.25400161743164,40.89400100708008,55950000,AMZN,0
2017-01-23,40.36249923706055,41.04349899291992,40.1870002746582,40.96549987792969,39272000,GOOG,0
2017-01-23,62.70000076293945,63.119998931884766,62.56999969482422,57.72431945800781,23097600,MSFT,0
2017-01-23,25.950000762939453,26.475000381469727,25.924999237060547,25.899417877197266,36990400,NVDA,0
2017-01-23,16.389999389648438,16.72599983215332,16.366666793823242,16.594667434692383,93943500,TSLA,0
2017-01-24,29.887500762939453,30.024999618530273,29.875,27.986989974975586,92844000,AAPL,1
2017-01-24,41.099998474121094,41.199501037597656,40.724998474121094,41.12200164794922,59434000,AMZN,1
2017-01-24,41.1150016784668,41.29499816894531,40.891048431396484,41.19350051879883,29480000,GOOG,1
2017-01-24,63.20000076293945,63.7400016784668,62.939998626708984,58.23775863647461,24672900,MSFT,1
2017-01-24,26.375,26.895000457763672,26.225000381469727,26.45146369934082,42805200,NVDA,1
2017-01-24,16.666667938232422,16.98666763305664,16.643333435058594,16.974000930786133,74482500,TSLA,1
2017-01-25,30.104999542236328,30.524999618530273,30.06999969482422,28.432554244995117,129510400,AAPL,2
2017-01-25,41.28950119018555,41.87099838256836,41.26449966430664,41.82600021362305,78452000,AMZN,2
2017-01-25,41.48099899291992,41.78850173950195,41.25299835205078,41.78350067138672,29890000,GOOG,2
2017-01-25,63.95000076293945,64.0999984741211,63.45000076293945,58.38444519042969,23672700,MSFT,2
2017-01-25,27.262500762939453,27.325000762939453,26.582500457763672,26.564828872680664,52276000,NVDA,2
2017-01-25,17.15399932861328,17.230667114257812,16.786666870117188,16.96466636657715,77139000,TSLA,2
2017-01-26,30.417499542236328,30.610000610351562,30.399999618530273,28.446557998657227,105350400,AAPL,3
2017-01-26,41.7765007019043,42.19200134277344,41.650001525878906,41.95750045776367,71726000,AMZN,3
2017-01-26,41.890499114990234,41.900001525878906,41.35049819946289,41.60749816894531,59478000,GOOG,3
2017-01-26,64.12000274658203,64.54000091552734,63.54999923706055,58.925376892089844,43554600,MSFT,3
2017-01-26,26.975000381469727,27.487499237060547,26.674999237060547,27.023225784301758,45880000,NVDA,3
2017-01-26,16.952667236328125,17.049333572387695,16.71666717529297,16.833999633789062,47281500,TSLA,3
2017-01-27,30.53499984741211,30.587499618530273,30.399999618530273,28.448888778686523,82251600,AAPL,4
2017-01-27,41.95000076293945,41.98500061035156,41.47200012207031,41.78850173950195,59974000,AMZN,4
2017-01-27,41.73550033569336,42.09749984741211,41.02199935913086,41.16550064086914,59316000,GOOG,4
2017-01-27,65.38999938964844,65.91000366210938,64.88999938964844,60.30982971191406,44818000,MSFT,4
2017-01-27,27.482500076293945,27.97249984741211,27.212499618530273,27.545696258544922,47199600,NVDA,4
2017-01-27,16.7586669921875,16.866666793823242,16.56800079345703,16.863332748413086,47494500,TSLA,4
2017-01-30,30.232500076293945,30.407499313354492,30.165000915527344,28.374237060546875,121510000,AAPL,0
2017-01-30,41.650001525878906,41.67499923706055,40.819000244140625,41.51900100708008,74946000,AMZN,0
2017-01-30,40.733001708984375,40.79199981689453,39.9900016784668,40.11600112915039,64932000,GOOG,0
2017-01-30,65.69000244140625,65.79000091552734,64.80000305175781,59.71385955810547,31651400,MSFT,0
2017-01-30,27.729999542236328,27.752500534057617,26.977500915527344,27.114412307739258,49600400,NVDA,0
2017-01-30,16.8353328704834,17.019332885742188,16.47333335876465,16.708667755126953,57016500,TSLA,0
2017-01-31,30.287500381469727,30.34749984741211,30.155000686645508,28.308916091918945,196804000,AAPL,1
2017-01-31,41.1875,41.3494987487793,40.97800064086914,41.17399978637695,62744000,AMZN,1
2017-01-31,39.84299850463867,40.0625,39.5260009765625,39.839500427246094,43212000,GOOG,1
2017-01-31,64.86000061035156,65.1500015258789,64.26000213623047,59.2737922668457,25270500,MSFT,1
2017-01-31,27.237499237060547,27.512500762939453,27.049999237060547,26.907394409179688,36275600,NVDA,1
2017-01-31,16.615999221801758,17.05933380126953,16.51333236694336,16.795333862304688,61741500,TSLA,1
2017-02-01,31.75749969482422,32.622501373291016,31.752500534057617,30.03521728515625,447940000,AAPL,2
2017-02-01,41.46049880981445,41.68899917602539,41.24700164794922,41.61750030517578,77004000,AMZN,2
2017-02-01,39.98400115966797,40.05950164794922,39.55950164794922,39.784751892089844,40594000,GOOG,2
2017-02-01,64.36000061035156,64.62000274658203,63.470001220703125,58.29276657104492,39671500,MSFT,2
2017-02-01,27.645000457763672,28.530000686645508,27.46500015258789,28.08296012878418,59000400,NVDA,2
2017-02-01,16.8700008392334,16.8799991607666,16.60333251953125,16.615999221801758,59382000,TSLA,2
2017-02-02,31.9950008392334,32.34749984741211,31.94499969482422,29.9838924407959,134841600,AAPL,3
2017-02-02,41.829498291015625,42.1245002746582,41.41299819946289,41.997501373291016,147010000,AMZN,3
2017-02-02,39.689998626708984,40.1349983215332,39.599998474121094,39.92649841308594,30642000,GOOG,3
2017-02-02,63.25,63.40999984741211,62.75,57.91685485839844,45827000,MSFT,3
2017-02-02,28.325000762939453,28.934999465942383,28.014999389648438,28.437843322753906,48324000,NVDA,3
2017-02-02,16.555999755859375,16.827999114990234,16.513999938964844,16.770000457763672,37497000,TSLA,3
2017-02-03,32.07749938964844,32.29750061035156,32.040000915527344,30.112199783325195,98029200,AAPL,4
2017-02-03,40.33599853515625,40.915000915527344,40.20000076293945,40.5099983215332,217376000,AMZN,4
2017-02-03,40.14950180053711,40.29999923706055,40.01850128173828,40.074501037597656,29268000,GOOG,4
2017-02-03,63.5,63.70000076293945,63.06999969482422,58.38444519042969,30301800,MSFT,4
2017-02-03,28.862499237060547,28.975000381469727,28.475000381469727,28.18893051147461,37274400,NVDA,4
2017-02-03,16.79400062561035,16.812000274658203,16.64533233642578,16.755332946777344,32800500,TSLA,4
2017-02-06,32.282501220703125,32.625,32.224998474121094,30.394472122192383,107383600,AAPL,0
2017-02-06,40.4900016784668,40.5359992980957,40.150001525878906,40.38199996948242,77946000,AMZN,0
2017-02-06,39.98500061035156,40.083499908447266,39.76250076293945,40.06700134277344,23690000,GOOG,0
2017-02-06,63.5,63.650001525878906,63.13999938964844,58.34776306152344,19796400,MSFT,0
2017-02-06,28.5,29.332500457763672,28.5,28.91103744506836,50676800,NVDA,0
2017-02-06,16.733333587646484,17.187999725341797,16.708667755126953,17.184667587280273,53437500,TSLA,0
2017-02-07,32.6349983215332,33.022499084472656,32.61249923706055,30.68374252319336,152735200,AAPL,1
2017-02-07,40.46549987792969,40.80799865722656,40.375,40.625,69322000,AMZN,1
2017-02-07,40.199501037597656,40.525001525878906,40.0890007019043,40.3484992980957,24824000,GOOG,1
2017-02-07,63.7400016784668,63.779998779296875,63.22999954223633,58.15523147583008,20277200,MSFT,1
2017-02-07,29.674999237060547,30.229999542236328,29.475000381469727,29.359569549560547,74622400,NVDA,1
2017-02-07,17.21266746520996,17.333332061767578,17.094667434692383,17.165332794189453,63672000,TSLA,1
2017-02-08,32.837501525878906,33.05500030517578,32.80500030517578,30.802719116210938,92016400,AAPL,2
2017-02-08,40.634498596191406,41.07400131225586,40.625,40.98550033569336,57160000,AMZN,2
2017-02-08,40.349998474121094,40.59199905395508,40.15950012207031,40.41899871826172,23106000,GOOG,2
2017-02-08,63.56999969482422,63.810001373291016,63.220001220703125,58.072723388671875,18096400,MSFT,2
2017-02-08,29.600000381469727,29.827499389648438,29.094999313354492,29.231412887573242,44958000,NVDA,2
2017-02-08,17.156667709350586,17.55733299255371,17.079999923706055,17.472000122070312,58995000,TSLA,2
2017-02-09,32.912498474121094,33.11249923706055,32.779998779296875,31.02530288696289,113399600,AAPL,3
2017-02-09,41.08000183105469,41.25,40.98550033569336,41.06800079345703,49698000,AMZN,3
2017-02-09,40.47549819946289,40.53300094604492,40.22700119018555,40.47800064086914,19794000,GOOG,3
2017-02-09,63.52000045776367,64.44000244140625,63.31999969482422,58.73284149169922,22644400,MSFT,3
2017-02-09,29.71500015258789,29.764999389648438,28.899999618530273,28.68183135986328,84256800,NVDA,3
2017-02-09,17.75,18.07866668701172,17.74333381652832,17.946666717529297,117303000,TSLA,3
2017-02-10,33.1150016784668,33.23500061035156,33.01250076293945,30.95500946044922,80262000,AAPL,4
2017-02-10,41.191001892089844,41.400001525878906,41.14250183105469,41.37300109863281,48592000,AMZN,4
2017-02-10,40.584999084472656,40.76250076293945,40.48899841308594,40.68349838256836,22700000,GOOG,4
2017-02-10,64.25,64.30000305175781,63.97999954223633,58.67783737182617,18170700,MSFT,4
2017-02-10,29.982500076293945,30.174999237060547,28.149999618530273,28.001628875732422,165109200,NVDA,4
2017-02-10,17.986000061035156,18.06333351135254,17.74066734313965,17.948667526245117,54295500,TSLA,4
2017-02-13,33.27000045776367,33.45500183105469,33.1875,31.229141235351562,92141600,AAPL,0
2017-02-13,41.58100128173828,42.150001525878906,41.4275016784668,41.826499938964844,83452000,AMZN,0
